,Unnamed: 0,judul,nim,kata_kunci,mix_feature
10,10,"PEMBANGUNAN DASHBOARD KERJA SAMA FAKULTAS
TEKNOLOGI INFORMASI DENGAN BERBAGAI PIHAK",71150110,"System Usability Scale (SUS), User Centered Design (UCD)",bangun dashboard fakultas teknologi bangun dashboard fakultas teknologi instansi butuh mitra lembaga jalin hubung jenis tridharma ajar abdi dasar wilayah lokal nasional regional internasional milik payung hukum data milik payung hukum mou libat dosen mahasiswa dosen mahasiswa peran aktif hubung aktif dosen libat kerjasama reminder expired karna butuh dashboard mudah butuh bangun dashboard user ucd design ucd fokus butuh task scenario uji hitung task scenario task success ukur efektivitas efektivitas evaluasi usability scale sus sus milik daftar sus alami 9 sus uji bangun performance metrics rata success rate implementasi prototype success rate rata success rate nila alami 6 simpul website fakultas teknologi efektif usability scale sus user ucd design ucd
11,11,PENGENALAN POLA TULISAN HIRAGANA DENGAN ADAPTIVE THRESHOLDING DAN PROJECTION HISTOGRAM,71160003,"Pengenalan karakter, Aksara Jepang, Hiragana, adaptive thresholding, projection histogram, euclidean distance, k-NN",kenal pola tulis hiragana adaptive thresholding projection histogram aksara jepang aksara kanji aksara hiragana aksara katakana negara jepang aksara katakana aksara hiragana ajar semenjak taman kanak-kanak tk indonesia mudah ajar aksara jepang indonesia tulis huruf bentuk alfabet indonesia mudah ajar aksara inggris aksara jepang akibat indonesia waktu ajar hafal aksara hiragana program kenal karakter akurasi error rate presisi knn  9 kenal karakter akurasi error rate presisi knn  kenal karakter aksara jepang hiragana adaptive thresholding projection histogram euclidean distance knn 
12,12,ANALISIS PERFORMA WEB E-COMMERCE DISTRO DENGAN ALGORITMA  ROUND ROBIN DAN DYNAMIC TIME SLICE BERDASARKAN IPVSADM,71170234,"Load Balancing, Round Robin, Web Server, E-Commerce,Openlitespeed,Nginx", analisa performance website  e-commerce distro algoritma round robin dynamic time slice dasar ipvsadm mudah transaksi internet toko online belanja aktivitas transaksi online manajemen server beban overload tampung request data terima overload server coba terap teknik load balancing algoritma round robin website toko online uji tools load testing request catat http req duration http req receiving catat resource cpu ram server proses data loadbalancer openlitespeed optimal layan request read write manajemen resource cpu ram loadbalancer rata server request cepat terima client load balancing round robin website  server e-commerce openlitespeed nginx
13,13,IMPLEMENTASI JARINGAN SYARAF TIRUAN UNTUK MENDETEKSI PERGERAKAN USER PADA APLIKASI ANDROID,71150019,"Jaringan Syaraf Tiruan, Backpropagation, Android, status pergerakan user",implementasi jaring syaraf tiru deteksi gera user aplikasi android olahraga aktivitas jam sadar betapa olahraga tulis usaha bantu user giat aplikasi android jaring syaraf tiru algoritma backpropagation status gera user dasar prediksi jaring syaraf tiru ajar jaring syaraf tiru algoritma backpropagation implementasi aplikasi android data kumpul tulis manual data ambil upa cepat langkah gera user data data latih data uji data latih bobot proses data uji uji aplikasi android coba arsitektur jaring syaraf tiru unit unit hidden unit output uji tampil upa status gera user jaring syaraf tiru backpropagation android status gera user
14,14,"PROTOTYPE DASHBOARD HAK CIPTA, ISBN, PATEN SEBAGAI ALAT BANTU MONITORING UNIT CENTRINO",71170191,"Prototype dashboard monitoring Centrino, Goal directed design, Visualisasi data",prototype dashboard hak cipta isbn paten alat bantu monitoring unit centrino ukur inovasi universitas isi borang inovasi isi borang indikator alat ukur kembang inovasi universitas isi borang inovasi universitas kristen duta wacana central of entrepreneurship and innovation centrino borang inovasi indikator hak cipta isbn paten desain industri merk acu kembang inovasi universitas proses isi data universitas kristen duta wacana manual kumpul data fakultas proses efisien makan waktu olah data ancang dashboard memonitoring data data integrasi dashboard tampil kpi proses wawancara ketua wakil centrino uji overall relative efficiency success rate 6 uji user experience questionnaire ueq skala excellent skala daya tarik stimulasi efisiensi skala good kategori prototype dashboard monitoring centrino goal directed design visualisasi data
15,15,PENGEMBANGAN DASHBOARD POIN KEAKTIFAN MAHASISWA BERBASIS KEY PERFORMANCE INDICATOR,71150024,"A General Works > AS Academies and learned societies (General)
L Education > L Education (General)
Q Science > QA Mathematics > QA76 Computer software",kembang dashboard poin aktif mahasiswa bas key performance indicator program studi informatika universitas kristen duta wacana tuntut jalan tri darma jamin mutu didik sesuai standar nasional kelola jamin mutu didik tinggi cantum atur perintah no tahun standar didik nasional program studi informatika universitas kristen duta wacana alat bantu evaluasi memonitoring jamin capai ukur mutu dasar bangun dashboard sarana evaluasi monitoring kembang program studi informatika universitas kristen duta wacana dashboard bangun dasar data poin aktif key performance indicator alat ukur tahap kumpul data studi literature wawancara implementasi dashboard bentuk website  uji task success usability scale  analisa uji evaluasi  analisa aplikasi dashboard poin aktif bangun terima mudah jabat dekanat kait general works as academies and learned societies general education education general science qa mathematics computer software
16,16,"PEMBANGUNAN DATA MART PADA PENELITIAN, PENGABDIAN KEPADA MASYARAKAT, DAN PUBLIKASI DOSEN INFORMATIKA UKDW",71170223,"Data warehouse, Data mart, ETL, Fact constellation schema, KPI",bangun data mart abdi masyarakat publikasi dosen informatika ukdw maju didik tinggi lepas kualitas mutu didik salah parameter akreditasi akreditasi guru tinggi akreditasi program studi bijak ban-pt prodi informatika ukdw akreditasi program studi iaps 4 0 instrument akreditasi program studi salah esensi perhati iaps pkm abdi masyarakat tridharma guru tinggi buah data mart simpan data historis pkm publikasi dosen prodi informatika ukdw penuh dokumen iaps bantu dekanat  analisa kait abdi publikasi dosen  analisa butuh  analisa butuh tabel iaps tabel sifat  analisa sumber data kait butuh database fti olah tim data warehouse fti dasar butuh sumber data buah skema data warehouse skema fact constellation schema skema data olah etl extract transform load ulang data konsisten etl upa data sifat  analisa visualisasi sesuai  analisa butuh dasar implementasi data olah sumber data buah data mart data isi data konsisten data butuh kpi key performance indicator bukti tampil visualisasi dashboard data warehouse data mart etl fact constellation schema kpi
17,17,PENDEKATAN RAPID APPLICATION DEVELOPMENT UNTUK PEMBANGUNAN APLIKASI E-COMMERCE PERTANIAN DUTATANI STORE BERBASIS ANDROID,71150014,"e-commerce, Rapid Application Development (RAD), prototype, usability testing, card view, list view",rapid application development bangun aplikasi e-commerce tani dutatani store bas android e-commerce indonesia tahun tahun transaksi aplikasi e-commerce milik sasar market produk beda sektor tani dampak e-commerce indonesia rendah pilih aplikasi e-commerce tani indonesia antarmuka penuh puas bangun buah aplikasi e-commerce bas android aplikasi nama dutatani store bangun aplikasi dutatani store framework antarmuka flutter bahasa pemrograman dart kembang aplikasi rapid application development rad kurun waktu 2 tim anggota 4 evaluasi uji usabilitas aplikasi aplikasi uji usabilitas aplikasi responden selesai task scenario uji tampil list view milik usabilitas tinggi sukses tinggi banding card view e-commerce rapid application development rad prototype usability testing card view list view
18,18,MEMBANGUN VISUALISASI DATA MENGGUNAKAN DASHBOARD SERTA REPORTING UNTUK ANALISIS PENJUALAN FOOD COURT,71150052,"food court, Dashboard dan reporting, Key Performance Indicator.",bangun visualisasi data dashboard reporting  analisa jual food court food court buah sarana wisata kuliner area counter-counter tenant makan saji menu makan daerah mudah masyarakat nikmat makan proses bisnis food court proses transaksi beli aneka makan counter-counter tenant bayar kasir proses monitoring agama aktivitas food court asa sulit counter-counter tenant makan sedia dasar bangun dashboard reporting sarana bantu milik food court memonitoring  analisa evaluasi kembang bisnis food court food court juragan food centre kota solo tahap wawancara kpi desain antarmuka implementasi dashboard reporting bentuk website  evaluasi skenario uji kuisoner sus hitung skala likert puasa segi desain fungsionalitas evaluasi segi waktu task sedangakan segi desain antarmuka fungsionalitas evaluasi kuisoner sus 0 acceptability ranges terima acceptable adjective rating good food court dashboard reporting key performance indicator
19,19,PERANCANGAN APLIKASI ADMINISTRASI SISWA BERBASIS ANDROID STUDI KASUS DI SMA NEGERI 3 KEPULAUAN ARU,71160041,"Mobile application, User centered design, System usability scale, Prototyping",ancang aplikasi administrasi siswa bas android studi sma negeri 3 pulau aru sma negeri 3 pulau aru sekolah letak kota dobo provinsi malu sekolah tahun ganti nama sma negeri 3 pulau aru ubah website menteri didik budaya kemendikbud sekolah milik media fasilitas bidang administrasi media fasilitas sekolah siswa situasi pandemik semenjak pandemik giat ajar daring user center design prototyping selesai langkah garis kumpul data  analisa butuh prototyping implementasi pemrograman dasar uji fitur-fitur umum presensi spp notifikasi butuh responden skor rata hitung usability scale skor rata kategori good grade simpul aplikasi android penuh butuh responden dasar mobile application user ucd design usability scale prototyping
