,Unnamed: 0,judul,nim,kata_kunci,mix_feature
30,30,PENGEMBANGAN PEMANTAUAN PENGUNJUNG BERDASARKAN SCREENING SUHU SEBAGAI UPAYA PENCEGAHAN PENYEBARAN COVID- 19,71160118,"Screening suhu, NodeMCU 8266, GY 906 thermometer sensor, Aplikasi android",kembang pantau unjung dasar screening suhu upaya cegah sebar covid- corona virus kumpul virus infeksi salur napas kenal severe acute respiratory syndrome coronavirus 2 covid virus serang batas umur indonesia juang lawan sebar covid virus corona mati bilang situasi pandemi tumpu antri batas gedung tulis screening suhu data identitas suhu unjung real time unjung aman buah ruang gedung input sensor suhu tampil halaman aplikasi android kembang uji kalibrasi uji skalabilitas luas efektivitas baca suhu modul uji screening suhu beda 0 0 baca suhu uji aplikasi rancang tampil nama lokasi gedung suhu screening suhu nodemcu gy thermometer sensor aplikasi android
31,31,PEMBANGUNAN WEBSITE PENGEPUL SEBAGAI SARANA UNTUK PENGELOLAAN SAMPAH MASYARAKAT,71150105,"Sampah, Pengepul, Website, Goal Directed Design, Performance Metrics",bangun website kepul sarana kelola sampah masyarakat fokus bangun website hubung kepul masyarakat daerah poloharjo sobayan klaten rt rw bantu mengatasu sampah rumah tangga urai tulis bangun website goal directed design evaluasi ukur performance metrics task success time on task mouse click bangun website dedikasi masyarakat kepul bantu kelola sampah masyarakat sampah kepul website goal directed design performance metrics
32,32,SEGMENTASI MANUSKRIP BERAKSARA JAWA MENGGUNAKAN PROFIL PROYEKSI DAN KOMPONEN TERKONEKSI (CONNECTED COMPONENT),71150044,"Segmentasi Profil proyeksi, Komponen Terkoneksi , Aksara Jawa, Thresholding",segmentasi manuskrip aksara jawa profil proyeksi komponen koneksi connected component manuskrip buah tinggal sejarah indonesia manuskrip tulis bahasa kuno contoh aksara jawa aksara bahasa kuno pulau jawa paham manuskrip pustaka koleksi ancang bantu proses digitalisasi manuskrip aksara jawa tulis profil proyeksi komponen koneksi potong aksara jawa citra proses proses thresholding proses hitung histogram vertikal deteksi baris deteksi aksara jawa baris proses potong baris potong aksara jawa potong aksara jawa profil proyeksi komponen koneksi pengaruh kualitas citra citra milik kualitas tebal tinta cetak tajam akurat proses segmentasi pengaruh proses prapemrosesan thresholding ambang batas threshold segmentasi utama proses segmentasi karakter aksara jawa tinggi ambang batas citra biner olah tajam mudah nali segmentasi profil proyeksi komponen koneksi aksara jawa thresholding
33,33,PERANCANGAN WEBSITE E-CLASS MENGGUNAKAN METODE USER CENTERED DESIGN PADA SMK NEGERI 1 DOBO,71150150,"User Centered Design, E-Class, Php",ancang website e-class user ucd design smk negeri 1 dobo smk negeri 1 dobo salah sekolah tengah letak kota dobo proses ajar lisan tulis kualitas kuantitas buku pedoman sisi kota dobo milik koneksi internet bagus akses website dasar tulis coba bantu proses ajar ajar website e-class bahasa pemrograman php personal home page hypertext preprocessor e-class ajar bantu giat ajar sekolah manfaat media elektronik smartphone personal computer laptop internet e-class sedia materi ajar ajar sekolah bentuk softcopy online unduh website e-class harap siswa ajar materi ajar siswa ajar fleksibel materi paham siswa sekolah ajar e-class batas waktu sekolah user ucd design e-class php
34,34,ANALISA DAN PERANCANGAN ULANG ANTARMUKA APLIKASI TEMAN DIABETES TERHADAP LANSIA,71150091,"Orang Lanjut Usia (Lansia), Usability Test, ISO/IEC 9126 – 4, User  Centered Design (UCD), kuesioner System Usability Scale (SUS),  Teman Diabetes ver 1.3.9.",analisa ancang ulang antarmuka aplikasi teman diabetes lansia milik fokus ancang ulang desain aplikasi teman diabetes elder friendly lansia milik rentang usia tahun percaya lansia teknologi kualitas hidup lansia objek aplikasi teman diabetes ver 1 3 9 tampil antarmuka aplikasi pengaruh lansia standar iso iec 4 usability test 3 effectiveness efficiency satisfaction fokus effectiveness satisfaction evaluasi analisa tampil antarmuka aplikasi teman diabetes ver 1 3 9 ucd user ucd design temu butuh tampil antarmuka ubah desain tampil antarmuka aplikasi teman diabetes ver 1 3 9 lansia ubah antarmuka 1 ukur teks sp 2 ukur ikon hdpi high dots inch 3 tampil utama tampil layout grid ubah temu usabilitas redesain antarmuka aplikasi teman diabetes effectiveness efficiency satisfaction tampil redesain aplikasi teman diabetes ver 1 3 9 lansia alami uji usabilitas terima usia lansia usability test iso iec 4 user ucd design ucd kuesioner usability scale sus teman diabetes ver 1 3 9
35,35,ANALISIS UI UX FITUR MONITORING PROSES KP MAHASISWA PADA SISTEM INFORMASI KERJA PRAKTIK INFORMATIKA UKDW,71160031,"User centered design, Kerja praktik, Usability testing, System usability scale, Analisis situs web", analisa ui ux fitur-fitur monitoring proses kp mahasiswa praktik informatika ukdw praktik informatika sikap proyek informatika butuh praktik kembang segi fitur-fitur antarmuka dasar saran rekap butuh milik fitur-fitur monitoring analisa alam antarmuka terap user ucd design analisa fitur-fitur monitoring situs website  sikap 3 aspek ukur usability efektivitas efisiensi puas ukur efektivitas ukur selesai tugas ukur efisiensi hitung waktu tugas ukur puas usability scale sus dasar uji tahap efektivitas efisiensi puas tahap efektivitas mahasiswa dosen koordinator efisiensi mahasiswa 4 dosen koordinator puas mahasiswa 5 3 dosen koordinator 5 simpul fitur-fitur monitoring proses kp mahasiswa praktik informatika usable tampil sesuai butuh mudah mahasiswa dosen koordinator laksana praktik user ucd design praktik usability testing usability scale  analisa situs website 
36,36,PERANCANGAN SISTEM MONITORING CUACA LOKAL BERBASIS INTERNET OF THINGS DI KOTA YOGYAKARTA,71160014,"Monitoring Cuaca, NodeMCU ESP8266, DHT11, MD-0127, Anemometer, Ublox NEO-6M, Website",ancang monitoring cuaca lokal bas internet of things kota yogyakarta monitoring cuaca era serba digital kondisi cuaca pergi bangun buah monitoring cuaca operasi sesuai butuh cuaca akses website ancang monitoring cuaca mikrokontriker nodemcu sensor inputan monitoring sensor suhu kelembaban udara sensor hujan sensor cepat angin anemometer sensor gps ublox input sensor tampil buah website monitoring cuaca lokal bangun jalan sesuai harap uji rancang kirim data sensor website tampil cuaca lokasi sensor pandu konfigurasi rincian biaya masyarakat mudah bangun monitoring cuaca nodemcu anemometer ublox website
37,37,ANALISIS KEBUTUHAN MASYARAKAT TERHADAP APLIKASI SMART PLANT MONITORING UNTUK TANAMAN SUKULEN (STUDI KASUS : PT. BMM GROUP),71170204,"Succulents, Sukulen, Internet of Things, Android, Flutter, Plant Monitoring, Smartpot, MQTT, C# Server", analisa butuh masyarakat aplikasi smart plant monitoring tanam sukulen studi pt bmm group kondisi pandemi covid pengaruh manusia pasuk gaya hidup era new normal kondisi muncul buah giat gari rawat tanam hias sukulen awat tanam sukulen 3 faktor perhati sukulen tumbuh faktor lembap tanah intensitas cahaya suhu ruang buah pot pintar fungsi media awat otomatis perangkat monitoring faktor awat tanam pot pintar hubung aplikasi android protokol mqtt server website service bahasa giat  analisa butuh butuh masyarakat upa pot rawat otomatis integrasi aplikasi android tunjang tumbuh tanam uji smartpot bangun awat tanam indikator tumbuh diameter daun tunas tanam sukulen adaptive ahp-topsis 2 3 tinggi awat protokol komunikasi data protokol mqtt server fungsi akurasi 2 succulents sukulen internet of things android flutter plant monitoring smartpot mqtt server
38,38,PERBANDINGAN ALGORITMA C4.5 DAN K-MEANS DALAM MEMPREDIKSI KATEGORI INDEKS PRESTASI MAHASISWA,71150064,"prediksi indeks prestasi mahasiswa, akurasi data mining, C4.5, k-Means",banding algoritma 5 k-means prediksi kategori indeks prestasi mahasiswa banding akurasi prediksi algoritma 5 k-means prediksi indeks prestasi semester 1 mahasiswa fti ukdw data data mahasiswa fti ukdw angkat 2008-2016 data latih angkat data uji atribut beda dasar jalur prestasi non-prestasi jalur prestasi atribut kategori status lokasi level ice jalur non-prestasi atribut kategori status lokasi level ice numerik verbal spasial analogi akurasi hitung cross-tabulation algoritma 5 algoritma k-means skenario jalur prestasi rata akurasi skenario jalur non-prestasi rata akurasi prediksi indeks prestasi mahasiswa akurasi data mining 5 k-means
39,39,DESAIN DAN IMPLEMENTASI PROGRAM LAYANAN JEMAAT GKJ GONDOKUSUMAN YOGYAKARTA DENGAN METODE RAD,71170134,"Layanan pendataan, Data jemaat, metode RAD",desain implementasi program layan jemaat gkj gondokusuman yogyakarta rad kembang gkj gondokusuman gereja buka majelis gereja pendeta tuntut puas jemaat layan biston sekutu kunjung sarana bantu mudah layan unjung warga realisasi data jemaat ter-update aplikasi program layan data jemaat gkj gondokusuman aplikasi program layan data jemaat gkj gondokusuman jemaat gereja mandiri update data pribadi kembang aplikasi terap rapid application development rad tahap requirements planning rencana syarat rad design workshop workshop desain rad implementasi implementasi uji black box catat uji fungsional aplikasi program layan data jemaat gkj gondokusuman bangun tahap rad kembang aplikasi layan gkj gondokusuman jalan lacar bukti uji black box aplikasi layan gkj gondokusuman mengupdate data warga jemaat aplikasi fitur-fitur daftar warta jemaat minggu daftar majelis gkj gondokusuman jemaat butuh layan hubung majelis layan data data jemaat rad
40,40,PENDETEKSI KECELAKAAN LALU LINTAS MENGGUNAKAN AKSELEROMETER DAN GPS LOCATION PADA APLIKASI ANDROID,71150083,"Kecelakaan kendaraan, Google Maps, Google Speed, Akselerometer, Kecepatan, Android",deteksi celaka lintas akselerometer gps location aplikasi android celaka kendara hindar celaka kendara korban luka mati rugi rugi materi celaka kendara peran wenang keluarga tolong korban celaka buah hubung korban korban pegang smartphone kondisi cidera fisik sadar faktor peduli korban celaka manfaat smartphone android masyarakat rancang deteksi celaka kendara aplikasi android aplikasi sensor akselerometer gps location variabel deteksi celaka deteksi celaka kirim pesan aplikasi daftar pesan upa lokasi korban celaka baca akses lokasi korban via google map pesan aplikasi mudah kerabat wenang lokasi celaka kendara celaka kendara harap milik daftar aplikasi tolong korban celaka tangan cepat celaka kendara google maps google speed akselerometer cepat android
41,41,PEMANFAATAN API GATEWAY PADA ARSITEKTUR LAYANAN MIKRO,71170157,"Layanan mikro, Monolitik, API gateway.",manfaat api gateway arsitektur layan mikro proses kembang buah ubah ubah muncul seringkali arsitektur monolitik kode program milik gantung arsitektur proses ubah penuh bug terap arsitektur layan mikro terap arsitektur bantu coupling ketat studi arsitektur arsitektur aplikasi toko buku bas seluler bantu arsitektur api gateway aman layan atur request layan layan sesuai requirement aplikasi layan ditest unit testing kembang dasar  analisa terap arsitektur layan mikro sesuai karakteristik layan mikro layan sifat modular basis data pusat rancang fokus produk api gateway bantu entrypoint layan terap api key aman layan usage plan batas request terap layan aman client milik key hindar request overload kembang saran lambda function oauth authorizer api gateway aman layan mikro monolitik api gateway
42,42,PENGEMBANGAN MEJA KESELAMATAN PADA BENCANA GEMPA BUMI,71160033,"TRIABLE, drop cover hold on, triangle of life, physical impairment, NodeMCU ESP8266, modul GSM, modul Bluetooth, Android",kembang meja selamat bencana gempa bumi indonesia yogyakarta daerah potensi gempa bumi jenis tektonik gempa tahun yogyakarta canang program tangguh bencana salah perhati sekolah sekolah butuh physical impairment situasi sekolah butuh guru damping proses ajar ajar penuh aktivitas selamat gempa bumi tim universitas kristen duta wacana alat selamat nama triable alat dasar 2 selamat gempa bumi drop-cover-hold on dch tringale of life alat desain tahan runtuh bangun mudah difable lindung bahaya akibat gempa bumi triable kembang tim universitas kristen duta wacana gelar temu ilmiah tahun pit sentul bogor buah juara triable kembang modul kembang upa modul sinyal gsm modul bluetooth modul speaker modul adaptive ahp-topsis tim sar warga cari korban bencana gempa bumi modul meja triable kontrol mikrokontroler nodemcu sinyal bluetooth tangkap aplikasi platform android uji triable muas kirim sms modul gsm tangkap sinyal bluetooth halang halang tembok triable drop cover hold on triangle of life physical impairment nodemcu modul gsm modul bluetooth android
43,43,EVALUASI ANTARMUKA B2C SITUS WEB MYGOMODO.COM DENGAN UJI USABILITAS,71160007,"Usability Testing, Performance Based Metrics, System Usability Scale",evaluasi antarmuka situs website  mygomodo com uji usabilitas mygomodo com salah situs jual beli produk jasa wisata situs untung jual produk jasa wisata tawar alam unjung situs interaksi situs salah uji ukur usabilitas situs uji usabilitas situs website  mygomodo com ukur time on task error task success efficiency usability scale ukur time on task ukur waktu butuh responden task scenario ukur error hitung salah responden task scenario ukur task success responden pilih produk sesuai task scenario ukur efisiensi hitung data time on task task success dasar uji time on task rata detik responden ulang detik responden error rate 0 responden ulang 0 3 responden task success responden ulang responden efisiensi responden ulang responden skor sus responden ulang 5 responden usability testing performance based metrics usability scale
44,44,ANALISIS SENTIMEN PADA KOMENTAR VIDEO ULASAN SMARTPHONE DI YOUTUBE,71150046,"Analisis Sentimen, Sistem Klasifikasi, Support Vector Machine,
Credibility Adjusted Term Frequency", analisa sentimen komentar video ulas smartphone youtube youtube salah media sosial milik daya tarik tinggi masyarakat youtube milik konten agama menitikberatkan  analisa sentimen komentar video ulas smartphone youtube channel youtube sumber data sobat hape droidlime channel ulas smartphone indonesia verifikasi youtube klasifikasi sentimen bangun bantu sentimen masyarakat video ulas smartphone coba terap bobot term catf adjusted term frequency catf model klasifikasi support svm machine svm kernel linear rbf proses uji banding performance klasifikasi dataset data komentar imbang kelas imbang banding performance kernel linear rbf parameter evaluasi akurasi presisi confusion matrix catf bobot model klasifikasi svm klasifikasi sentimen komentar ulas smartphone youtube akurasi rata tinggi 2 data imbang 8 data imbang kernel linear klasifikasi optimal akurasi tinggi klasifikasi imbang raih kernel rbf  analisa sentimen klasifikasi support svm machine catf adjusted term frequency
45,45,PENGEMBANGAN APLIKASI PENINJAU DATA JEMAAT DENGAN PERTIMBANGAN KEAMANAN PADA BASIS DATA GEREJA BERBASIS ANDROID,71150058,"DDNS, TLS, SSL, gereja, web service, android",kembang aplikasi tinjau data jemaat timbang aman basis data gereja bas android data data jemaat proses sulit data jemaat milik bentuk agama catat aplikasi milik akses mudah akses mandiri cepat akurasi catat batas biaya tenaga sedia akses sewa vps ddns solusi sifat sensitif data komunikasi aman terap tls ssl implementasi penuh butuh mitra gki ddns terap konfigurasi sedia layan ddns noip konfigurasi modem akses sedia akses arah website  service siswaws sedia akses basis data lokal komputer gereja siswaws bangun framework spring aplikasi akses upa aplikasi bas android siswajr bangun antarmuka website  service bangun selesai rumus manfaat ddns website  service akses akses buah aplikasi android siswajr aman data sedia autentikasi tls ssl internal ca penuh butuh fungsi uji uji mandiri divalidasi gki tekan user experience jemaat gki milik usia etnis agama uji aman kembang ddns tls ssl gereja website  service android
46,46,SISTEM PAKAR UNTUK DETEKSI TIPE DIET IDEAL BERBASIS WEB DENGAN METODE FORWARD CHAINING,71160090,"forward chaining, sistem pakar, saran diet, komputer",pakar deteksi tipe diet ideal bas website  forward chaining gizi serius aplikasi situs sedia hitung gizi konsultasi diet dasar data karakteristik tubuh gejala alami bangun pakar mengakomodir hitung gizi gejala alami forward chaining saran diet certainty factor diagnosis status sehat kumpul data saran diet kumpul percaya ketidakpercayaan pakar terap forward chaining certainty factor pasu basis mesin inferensi forward chaining runut maju dasar fakta certainty factor uji gejala proses saran diet gejala diagnosis status gizi forward chaining certainty factor data uji basis pakar saran diet diagnosa gizi sesuai pakar forward chaining pakar saran diet komputer
47,47,REPRESENTASI PENGETAHUAN UNTUK PERMAINAN TRADISIONAL INDONESIA BERBASIS SEMANTIC WEB,71150076,"Permainan Tradisional Indonesia, Semantic Web, WSDM",representasi main tradisional indonesia bas semantic website  main tradisional makna main pegang teguh norma adat turun puas senang si proses cari main tradisional indonesia era sulit representasi main tradisional indonesia salah semantic website  bantu proses cari bas website  kembang semantic website  website  semantics design method wsdm 5 tahap mission statement specification audience modeling conceptual modeling implementasi design implementasi tahap ekstraksi conceptual modeling literatur ulang kalimat kandung subjek predikat objek subjek objek definisi class bentuk t-box terjemah description logic tahap implementasi design desain website  mudah proses cari main tradisional indonesia simpul wsdm website  semantic design method terap tampil main tradisional indonesia pegetahuan main tradisional indonesia terap semantic website  bas owl main tradisional indonesia semantic website  wsdm
48,48,"IDENTIFIKASI SIDIK JARI MENGGUNAKAN HASIL EKSTRAKSI
DARI METODE WAVELET HAAR",71150067,"Wavelet haar, Euclidean Distance, ekstraksi fitur, sidik jari",identifikasi sidik jari ekstraksi wavelet haar makalah fitur-fitur energi wavelet haar identifikasi sidik jari utama uji akurat identifikasi sidik jari fitur-fitur energi hitung euclidean distance sampel uji citra sidik jari ambil prapemrosesan gambar identifkasi sidik jari tama citra dipra-proses hitung fitur-fitur energi wavelet haarnya fitur-fitur energi wavelet haar hitung euclidean distance menhitung citra sidik jari sidik jari citra latih milik akurasi level 1 level 2 level 3 level 4 level 5 level 6 citra latih level 1 level 2 level 3 level 4 level 5 level 6 citra latih level 1 level 2 level 3 level 4 level 5 level 6 wavelet haar euclidean distance ekstraksi fitur-fitur sidik jari
49,49,"PEMBANGUNAN MODEL PENGETAHUAN KERAJINAN
TRADISIONAL INDONESIA DENGAN PENDEKATAN ONTO-
KNOWLEDGE",71150038,"Semantic web, On-To-Knowledge, kerajinan tradisional Indonesia",bangun model rajin tradisional indonesia onto- knowledge rajin tradisional karya alat sederhana bahan bahan alami rajin tradisional gerabah batik rajin kayu anyam rajin perak kain tenun jenis rajin tradisional banding sedia rajin tradisional indonesia kenal dokumentasi rajin tradisional masyarakat indonesia salah dokumentasi rajin tradisional indonesia semantic website  semantic website  kelola kumpul data model dinamis buka akses rajin tradisional indonesia representasi bentuk owl tulis metodologi on-to-knowledge bangun ontologi rajin tradisional indonesia metodologi on-to-knowledge 5 tahap tulis 4 tahap tahap feasibility study kick off refinement evaluation tahap feasibility study studi layak bangun identifikasi use case tahap kick-off definisi butuh ontologi rajin tradisional indonesia sumber tahap refinement model ontologi rajin tradisional indonesia tahap ekstraksi manual description logic t-box evaluasi tahap uji reasoner hermit aplikasi prot dl query completeness check semantic website  on-to-knowledge rajin tradisional indonesia
50,50,"PERANCANGAN ANTARMUKA ""PHOTOGRAPH TREATMENT"" UNTUK PENDERITA DEMENSIA ALZHEIMER PADA LANSIA",71160129,"Dementia, Mild Dementia, Photograph Treatment, effectiveness, efficiacy and satisfaction rate, User Centered Design, MMSE",ancang antarmuka photograph treatment derita demensia alzheimer lansia demensia turun fungsi kognitif otak pengaruh lansia utama demensia sakit alzheimer -70 salah karakteristik demensia alzheimer ringan ganggu kognitif aphasia fungsi bahasa turun agnosia sulit nali identifikasi objek anomie sulit temu nama objek foto terapi derita demensia alzheimer fungsi kognitif otak teknologi cegah lansia turun kognitif fungsi kualitas hidup 3 utama sulit lansia ponsel cognition memori fisik gera motorik persepsi user ucd design aplikasi photograph treatment mudah lansia ukur dasar efektivitas efisiensi puas solusi temu aplikasi bas tombol aplikasi photograph treatment dementia mild dementia photograph treatment effectiveness efficiency and satisfaction rate user ucd design mmse
51,51,ANALYSIS PROFILE SISWA SMA PANGUDILUHUR SANTO YOHANES KETAPANG KALIMANTAN BARAT MENGGUNAKAN DASHBOARD,71150092,"Dashboard, Key performance indicator, Task success, System usability scale, Success rate",analysis profile siswa sma pangudiluhur santo yohanes ketapang kalimantan barat dashboard program studi informatika universitas kristen duta wacana tuntut jalan tri darma jamin mutu didik tinggi cantum atur perintah no tahun standar didik nasional program studi informatika universitas kristen duta wacana alat bantu evaluasi memonitoring menjamin capai ukur mutu dasar mebangun dashboard sarana evaluasi monitoring kembang program studi informatika universitas kristen duta wacana dashboard bangun dasar data profile siswa key performance indicator sebagia alat ukur tahap kumpul data studi literature wawancara implementasi dashboard bentuk website  uji task success usability scale  analisa uji evaluasi  analisa aplikasi dashboard profile siswa bangun terima mudah pegawai tata usaha dashboard key performance indicator task success usability scale success rate
52,52,ANALISIS DAN PENERAPAN SISTEM INFORMASI PELAYANAN PUSKESMAS SAMBAS BERBASIS WEB,71150043,"Rapid Application Development, Technology Acceptance Model , System Usability Scale", analisa terap layan puskesmas sambas bas website  puskesmas instansi sehat laksana upaya sehat wilayah puskesmas proses layan puskesmas manual dukung alami proses layan butuh waktu dasar bangun buah layan bantu pegawai puskesmas layan pasien puskesmas sambas kalimantan barat rapid application development rad milik untung proses kembang cepat libat proses sesuai butuh evaluasi skenario uji technology acceptance model tam ukur terima teknologi usability scale sus ukur uji sesuai rapid application development rad rad libat sesuai butuh evaluasi waktu skenario uji pasien task persentase pegawai task persentase pegawai administrasi task persentase uji terima 5 hipotesis aju hipotesis terima dasar simpul mudah layan efektivitas pegawai minat sikap positif layan puskesmas sambas sikap positif minat pegawai layan tunjang giat pegawai puskesmas bidang layan uji usability usability scale skor sus dasar skala sus grade scale adjective rating nila good acceptability ranges terima acceptable rapid application development technology acceptance model usability scale
53,53,IMPLEMENTASI FRAMEWORK LARAVEL PADA SISTEM INFORMASI PENGELOLAAN BANK SAMPAH GMA KLATEN BERBASIS WEBSITE,71160078,"Bank Sampah, Laravel, Android",implementasi framework laravel kelola bank sampah gma klaten bas website gereja maria assumpta klaten milik bank sampah kelola warga jemaat proses olah data manual microsoft excel tulis putus rancang bangun buah kelola bank sampah bas website halaman request jemput sampah aplikasi gematen framework flutter milik gereja tulis analisa butuh wawancara observasi lapang ancang desain implementasi sesuai butuh uji website halaman request jemput sampah aplikasi android gematen completion rate time based efficiency sus usability website halaman request jemput sampah aplikasi android gematen sesuai butuh bangun website  bank sampah halaman request jemput sampah aplikasi android gematen milik effectiveness efficiency responden website  bank sampah halaman request jemput sampah aplikasi android gematen task efficiency expert user uji usability scale grade bank sampah laravel android
54,54,REPRESENTASI PENGETAHUAN BERBASIS WEB ONTOLOGY LANGUAGE (OWL) UNTUK OBJEK PAKAIAN ADAT INDONESIA,71150007,"Q Science > QA Mathematics > QA76 Computer software
T Technology > T Technology (General)",representasi bas website  ontologi  language owl objek pakai adat indonesia pakai adat salah waris budaya unik pakai adat buah identitas upa pakai beda daerah salah terap sebar objek budaya pakai adat kerangka standar semantic website  standar semantic website  kelola kumpul data struktur data model dinamis bangun struktur data model representasi pakai adat bas semantic website  butuh metodologi bantu model kembang infrastruktur objek pakai adat methontology ethontology langkah spesifikasi knowledge acquisition konseptualisasi implementasi methontology bantu model objek pakai adat terjemah standar website  ontologi  language owl representasi bentuk website  tahap spesifikasi batas ruang lingkup ontologi tahap knowledge acquisition tahap cari ajar konsep utama buku tahap konseptualisasi terap description logic model bentuk t-box tahap implementasi tahap bangun ontologi pakai adat aplikasi prot implementasi bentuk website  framework vue js hubung resource pakai adat indonesia resource id dbpedia org lapor tahap spesifikasi knowledge acquisition science qa mathematics computer software technology technology general
55,55,PEMBANGUNAN SISTEM TANYA JAWAB DENGAN METODE WEIGHTED SUM UNTUK REGISTRASI PENERIMAAN MAHASISWA UKDW,71160091,"Sistem tanya jawab, Weighted sum model",bangun weighted sum registrasi terima mahasiswa ukdw admisi universitas kristen duta wacana tugas layan putar registrasi mahasiswa kait putar registrasi terima mahasiswa layan karyawan admisi layan sedia cenderung repetitif pecah bangun buah qa wsm model wsm bangun qa ambil data upa daftar daftar ambil keyword hitung term frequency tf daftar pasuk tahap preprocessing tahap preprocessing case-folding hapus karakter koma titik tokenisasi stopword removal lemmatization seleksi keyword case-folding tahap kapital karakter tokenisasi proses pecah teks unit linguistik stopword removal hilang umum temu teks tahap lemmatization ubah imbuh bentuk dasar seleksi keyword nyaring kandung kunci definisi bobot konstan rumus frekuensi relatif bobot relatif inverse-doncument frequency idf hitung weighted sum ws uji skenario skenario uji akurasi terima milik kunci data latih skenario uji akurasi milik komposisi urut tulis sinonim tata bahasa beda akurasi skenario skenario wsm faktor wsm weighted sum model
56,56,KLASIFIKASI 4 BAHASA SERUMPUN MENGGUNAKAN SUPPORT VECTOR MACHINE,71150010,"Klasifikasi Bahasa, Support Vector Machine, Supervised Learning, Bahasa Indonesia, Bahasa Jawa, Bahasa Minang, Bahasa Sunda",klasifikasi 4 bahasa serum support svm machine internet butuh era digital bantu selesai internet dunia interaksi tukar komunikasi bahasa media digital mudah kembang aplikasi pemrosesan bahasa alami pemrosesan bahasa alami paham bahasa alami manusia proses pemrosesan bahasa alami cerdas proses otomatis pemrosesan bahasa alami klasifikasi bahasa klasifikasi bahasa butuh utama nali bahasa daerah bahasa daerah indonesia under resource language klasifikasi bahasa daerah bahasa daerah nali daerah bahasa salah machine learnings terap klasifikasi support svm machine klasifikasi 4 bahasa serum klasifikasi bahasa indonesia bahasa jawa bahasa mang bahasa sunda support svm machine kembang bukti klasifikasi akurasi capai support svm machine klasifikasi multi-bahasa klasifikasi bahasa support svm machine supervised learning bahasa indonesia bahasa jawa bahasa mang bahasa sunda
57,57,PENERAPAN PERMODELAN TOPIK UNTUK PENCARIAN DOKUMEN TERMIRIP,71170141,"TFIDF, Pemodelan Topik, Pencarian Dokumen, Kolokasi, Lexikat",terap model topik cari dokumen buah dokumen sulit proses komputer fitur-fitur dimensi data lambat proses shahmirzadi lugowski younge salah model topik model topik temu pola dokumen fitur-fitur efektif representasi dokumen salah platform sedia produk model topik lexikat fokus topik lexikat fitur-fitur cari dokumen term bobot topik lexikat fitur-fitur fitur-fitur dokumen ukur fitur-fitur dokumen cosine similarity tulis dataset eksperimen algoritma lexikat ubah parameter bobot model topik model topik bobot tf-idf skor topik query 1 f-measure 0 break-even point 0 bobot tf skor topik f-measure 0 break-even point 0 cari dokumen query model topik lexikat waktu ukur dokumen -90 tf-idf model topik cari dokumen kolokasi lexikat
58,58,KLASIFIKASI SENTIMEN KOMENTAR INSTAGRAM BERBAHASA INDONESIA MENGGUNAKAN SUPPORT VECTOR MACHINE,71150017,"Support Vector Machine, Analisis Sentimen, k-fold cross-validation,
tf-idf, stemmer, n-gram",klasifikasi sentimen komentar instagram bahasa indonesia support svm machine media sosial salah butuh wajib kalang masyarakat salah media sosial popular instagram manfaat instagram paham etika sosial dunia maya salah rugi  analisa sentimen nyaring komentar media sosial komentar sifat negatif positif netral  analisa sentimen sentimen akun  analisa sentimen klasifikasi tunjang tulis terap  analisa sentimen komentar instagram klasifikasi support svm machine svm tulis akurasi svm klasifikasi sentimen tulis faktor pengaruh akurasi faktor upa k-fold kernel stemmer preprocessing dasar tulis rata akurasi fitur-fitur kombinasi unigram bigram uji simpul kernel polynomial sesuai klasifikasi fitur-fitur tf-idf stemmer pengaruh support svm machine  analisa sentimen k-fold cross-validation tf-idf stemmer n-gram
59,59,APLIKASI OTOMATIS UJI DESAIN ANTARMUKA DALAM STUDI KASUS ANTARMUKA CHAT ROOM PADA PONSEL,71170145,"Desain antarmuka, Chat room, Flutter, System Usability Scale",aplikasi otomatis uji desain antarmuka studi antarmuka chat room ponsel kembang teknologi aplikasi manfaat hidup komunikasi hibur butuh aplikasi faktor pengaruh aplikasi salah desain antarmuka aplikasi mudah paham desain antarmuka desain mudah halang paham bidang desain pemrograman bangun buah aplikasi otomatis uji desain antarmuka studi chat room mambantu proses uji desain antarmuka awam desain catat uji waktu langkah error proses  analisa desain aplikasi otomatis uji desain antarmuka implementasi platform android bangun alat android studio bahasa pemrograman flutter dart aplikasi bangun sesuai butuh kuesioner usability scale sus ambil dosen fakultas teknologi universitas kristen duta wacana usability user interface user experience aplikasi bantu proses uji desain antarmuka chat room catat langkah durasi error status visualisasi desain antarmuka sesuai butuh dasar wawancara uji aplikasi bukti hitung sus aplikasi otomatis uji desain antarmuka aplikasi jalan mesti desain antarmuka chat room flutter usability scale
