,judul,nim,kata_kunci,mix_feature
10,"PEMBANGUNAN DASHBOARD KERJA SAMA FAKULTAS
TEKNOLOGI INFORMASI DENGAN BERBAGAI PIHAK",71150110,"System Usability Scale (SUS), User Centered Design (UCD)",bangun dashboard fakultas teknologi informasi teliti bangun dashboard fakultas teknologi informasi instansi butuh mitra lembaga jalin hubung jenis tridharma ajar abdi teliti dasar wilayah lokal nasional regional internasional milik payung hukum data teliti milik payung hukum mou libat dosen mahasiswa dosen mahasiswa peran aktif hubung aktif dosen libat kerjasama reminder expired karna butuh dashboard mudah informasi butuh bangun dashboard metode user ucd design ucd fokus butuh sistem task scenario uji hitung task scenario task success ukur efektivitas hasil efektivitas evaluasi sistem system usability scale sus sus milik daftar hasil sus alami tingkat 9 sus uji sistem bangun performance metrics rata success rate implementasi prototype success rate hasil rata success rate nila alami tingkat 6 simpul website site site fakultas teknologi informasi efektif system usability scale sus user ucd design ucd
11,PENGENALAN POLA TULISAN HIRAGANA DENGAN ADAPTIVE THRESHOLDING DAN PROJECTION HISTOGRAM,71160003,"Pengenalan karakter, Aksara Jepang, Hiragana, adaptive thresholding, projection histogram, euclidean distance, k-NN",kenal pola tulis hiragana adaptive thresholding projection histogram aksara jepang aksara kanji aksara hiragana aksara katakana negara jepang aksara katakana aksara hiragana ajar semenjak taman kanak-kanak tk indonesia mudah ajar aksara jepang indonesia tulis huruf bentuk alfabet indonesia mudah ajar aksara inggris aksara jepang akibat indonesia waktu ajar hafal aksara hiragana teliti hasil program kenal karakter akurasi error rate presisi knn  9 hasil kenal karakter akurasi error rate presisi knn  kenal karakter aksara jepang hiragana adaptive thresholding projection histogram euclidean distance knn 
12,ANALISIS PERFORMA WEB E-COMMERCE DISTRO DENGAN ALGORITMA  ROUND ROBIN DAN DYNAMIC TIME SLICE BERDASARKAN IPVSADM,71170234,"Load Balancing, Round Robin, Web Server, E-Commerce,Openlitespeed,Nginx", analisa performance website site  e-commerce distro algoritma round robin dynamic time slice dasar ipvsadm mudah transaksi internet tingkat toko online belanja aktivitas transaksi online manajemen server beban overload tampung request data terima overload server teliti coba terap teknik load balancing algoritma round robin website site site toko online uji tools load testing request catat hasil http req duration http req receiving catat resource cpu ram server proses data hasil teliti loadbalancer openlitespeed optimal layan request read write manajemen resource cpu ram loadbalancer rata server request cepat terima client load balancing round robin website site  server e-commerce openlitespeed nginx
13,IMPLEMENTASI JARINGAN SYARAF TIRUAN UNTUK MENDETEKSI PERGERAKAN USER PADA APLIKASI ANDROID,71150019,"Jaringan Syaraf Tiruan, Backpropagation, Android, status pergerakan user",implementasi jaring syaraf tiru deteksi gera user aplikasi android olahraga aktivitas jam sadar betapa olahraga tulis usaha bantu user informasi giat aplikasi android metode jaring syaraf tiru algoritma backpropagation informasi hasil status gera user dasar prediksi jaring syaraf tiru teliti ajar jaring syaraf tiru algoritma backpropagation implementasi aplikasi android data kumpul tulis manual data ambil upa cepat langkah gera user data data latih data uji data latih bobot proses data uji uji aplikasi android coba arsitektur jaring syaraf tiru unit unit hidden unit output hasil uji tampil upa status gera user jaring syaraf tiru backpropagation android status gera user
14,"PROTOTYPE DASHBOARD HAK CIPTA, ISBN, PATEN SEBAGAI ALAT BANTU MONITORING UNIT CENTRINO",71170191,"Prototype dashboard monitoring Centrino, Goal directed design, Visualisasi data",prototype dashboard hak cipta isbn paten alat bantu monitoring unit centrino ukur inovasi universitas isi borang inovasi isi borang indikator alat ukur kembang inovasi universitas isi borang inovasi universitas kristen duta wacana central of entrepreneurship and innovation centrino borang inovasi indikator nilai hak cipta isbn paten desain industri merk acu kembang inovasi universitas proses isi data universitas kristen duta wacana manual kumpul data fakultas proses efisien makan waktu olah data teliti ancang dashboard memonitoring data data integrasi sistem dashboard tampil kpi proses wawancara ketua wakil centrino hasil teliti uji overall relative efficiency hasil success rate 6 hasil uji user experience questionnaire ueq skala excellent skala daya tarik stimulasi efisiensi skala good kategori prototype dashboard monitoring centrino goal directed design visualisasi data
15,PENGEMBANGAN DASHBOARD POIN KEAKTIFAN MAHASISWA BERBASIS KEY PERFORMANCE INDICATOR,71150024,"A General Works > AS Academies and learned societies (General)
L Education > L Education (General)
Q Science > QA Mathematics > QA76 Computer software",kembang dashboard poin aktif mahasiswa bas key performance indicator program studi informatika universitas kristen duta wacana tuntut jalan tri darma jamin mutu didik sesuai standar nasional kelola jamin mutu didik tinggi cantum atur perintah no tahun standar didik nasional program studi informatika universitas kristen duta wacana alat bantu evaluasi memonitoring jamin capai ukur mutu dasar teliti bangun dashboard sarana evaluasi monitoring kembang program studi informatika universitas kristen duta wacana dashboard bangun dasar data poin aktif key performance indicator alat ukur tahap teliti teliti kumpul data studi literature wawancara implementasi dashboard bentuk website site  uji task success system usability scale  analisa hasil uji hasil evaluasi  analisa aplikasi dashboard poin aktif bangun terima mudah jabat dekanat kait general works as academies and learned societies general education education general science qa mathematics computer software
16,"PEMBANGUNAN DATA MART PADA PENELITIAN, PENGABDIAN KEPADA MASYARAKAT, DAN PUBLIKASI DOSEN INFORMATIKA UKDW",71170223,"Data warehouse, Data mart, ETL, Fact constellation schema, KPI",bangun data mart teliti abdi masyarakat publikasi dosen informatika ukdw maju didik tinggi lepas kualitas mutu didik salah parameter nilai akreditasi akreditasi guru tinggi akreditasi program studi bijak ban-pt prodi informatika ukdw akreditasi program studi iaps 4 0 instrument akreditasi program studi salah esensi perhati iaps teliti pkm abdi masyarakat tridharma guru tinggi teliti hasil buah data mart simpan data historis teliti pkm publikasi dosen prodi informatika ukdw penuh dokumen iaps teliti bantu dekanat  analisa kait teliti abdi publikasi dosen teliti  analisa butuh  analisa butuh tabel iaps tabel sifat  analisa sumber data kait butuh database fti olah tim data warehouse fti dasar butuh sumber data buah skema data warehouse skema fact constellation schema skema data olah etl extract transform load ulang data hasil konsisten hasil etl upa data sifat  analisa visualisasi sesuai  analisa butuh dasar implementasi data olah sumber data buah data mart data isi data konsisten data hasil butuh kpi key performance indicator bukti tampil visualisasi dashboard data warehouse data mart etl fact constellation schema kpi
17,PENDEKATAN RAPID APPLICATION DEVELOPMENT UNTUK PEMBANGUNAN APLIKASI E-COMMERCE PERTANIAN DUTATANI STORE BERBASIS ANDROID,71150014,"e-commerce, Rapid Application Development (RAD), prototype, usability testing, card view, list view",rapid application development bangun aplikasi e-commerce tani dutatani store bas android e-commerce indonesia tingkat tahun tahun transaksi aplikasi e-commerce milik sasar market produk beda sektor tani dampak e-commerce indonesia rendah pilih aplikasi e-commerce tani indonesia antarmuka sistem penuh puas bangun buah aplikasi e-commerce bas android aplikasi nama dutatani store bangun aplikasi dutatani store framework antarmuka flutter bahasa pemrograman dart kembang aplikasi metode rapid application development rad kurun waktu 2 tim anggota 4 evaluasi sistem uji usabilitas aplikasi tingkat aplikasi hasil uji usabilitas aplikasi responden selesai task scenario hasil uji tampil list view milik nilai usabilitas tinggi tingkat sukses tinggi banding card view e-commerce rapid application development rad prototype usability testing card view list view
18,MEMBANGUN VISUALISASI DATA MENGGUNAKAN DASHBOARD SERTA REPORTING UNTUK ANALISIS PENJUALAN FOOD COURT,71150052,"food court, Dashboard dan reporting, Key Performance Indicator.",bangun visualisasi data dashboard reporting  analisa jual food court food court buah sarana wisata kuliner area counter-counter tenant makan saji menu makan daerah mudah masyarakat nikmat makan proses bisnis food court proses transaksi beli aneka makan counter-counter tenant bayar kasir proses monitoring agama aktivitas food court asa sulit counter-counter tenant makan sedia dasar teliti bangun dashboard reporting sarana bantu milik food court memonitoring  analisa evaluasi kembang bisnis food court teliti food court juragan food centre kota solo tahap teliti wawancara kpi desain antarmuka implementasi sistem hasil dashboard reporting bentuk website site  evaluasi skenario uji kuisoner sus hitung skala likert tingkat puasa segi desain fungsionalitas sistem hasil evaluasi hasil segi waktu task nilai sedangakan segi desain antarmuka fungsionalitas sistem evaluasi kuisoner sus nilai 0 nilai acceptability ranges terima acceptable adjective rating good food court dashboard reporting key performance indicator
19,PERANCANGAN APLIKASI ADMINISTRASI SISWA BERBASIS ANDROID STUDI KASUS DI SMA NEGERI 3 KEPULAUAN ARU,71160041,"Mobile application, User centered design, System usability scale, Prototyping",ancang aplikasi administrasi siswa bas android studi sma negeri 3 pulau aru sma negeri 3 pulau aru sekolah letak kota dobo provinsi malu sekolah tahun ganti nama sma negeri 3 pulau aru ubah website site site menteri didik budaya kemendikbud sekolah milik media fasilitas bidang administrasi media fasilitas sekolah informasi siswa situasi pandemik semenjak pandemik giat ajar daring teliti metode user center design prototyping selesai langkah garis kumpul data  analisa butuh prototyping implementasi pemrograman sistem dasar hasil uji fitur-fitur umum nilai presensi informasi spp notifikasi butuh responden skor rata hitung system usability scale skor rata kategori good grade simpul aplikasi android hasil penuh butuh responden dasar mobile application user ucd design system usability scale prototyping
20,SINGLE MANAGEMENT MULTIPLE ROUTER MIKROTIK BERBASIS SIMPLE NETWORK MANAGEMENT PROTOCOL,71150005,"remote site monitoring, SNMP, LLDP, API, router mikrotik, router UBNT AirMax",single management multiple router mikrotik bas simple network management protocol remote site monitoring administrator jaring remote site monitoring bantu admin jaring awat perangkat jaring gambar kondisi topologi jaring seringkali tools monitoring remote site monitoring monitoring admin jaring tools konfigurasi perangkat jaring vendor aplikasi monitoring konfigurasi alat remote mikrotik the dude ubnt ubiquiti network monitoring system unms tools monitoring konfigurasi router merk perangkat topologi jaring aneka ragam sulit admin jaring konsep simple network management protocol snmp link layer discovery protocol lldp teliti harap dorong vendor kolaborasi monitoring tools aplikasi snmp ambil informasi dasar router deskripsi sistem cepat rx tx uptime disk memory protokol ambil informasi perangkat jaring lldp table ambil gambar topologi jaring implementasi sistem python application programming interface api konfigurasi perangkat jaring mikrotik ubnt airmax hasil protokol snmp lldp sistem hasil sistem sistem tampil gambar topologi jaring sistem tampil tampil perangkat upa router sistem konfigurasi router mikrotik api pakai akses router ubnt airmax milik konfigurasi api ambil statistik router ubnt router ubnt airmax dukung protokol lldp proses discovery network ganggu router ubnt airmax packet lldp network temu remote site monitoring snmp lldp api router mikrotik router ubnt airmax
21,ANALISA DAN PERBANDINGAN WEB SERVER APACHE2 DAN NGINX WEBSITE MOODLE DAN WORDPRESS MENGGUNAKAN METODE STRESS TEST,71170209,"Perbandingan nginx dan apache2, Jumlah request, Spesifikasi ec2",analisa banding website site  server nginx website site site moodle wordpress metode stress test kembang teknologi pesat user internet website site  kunjung dukung layan user website site  server aplikasi website site  perhati teliti website site  server uji spesifikasi minim uji request rendah tinggi uji harap website site  server jalan request spesifikasi server batas teliti hipotesis spesifikasi nano request website site  server banding nginx jalan request waktu selesai test cepat banding nginx waktu segi transfer rate hasil banding nginx request nginx request selesai request banding nginx request spesifikasi
22,KLASIFIKASI JENIS BATIK SOLO MENGGUNAKAN ALGORITMA MODIFIED K-NEAREST NEIGHBOOR,71150079,"Batik, Motif Baik, Klasifikasi, Modified K-nearest neighbor,
Data, Pengolahan citra",klasifikasi jenis batik solo algoritma modified knn knn batik kaya budaya indonesia nila mutu tinggi batik jaman budaya batik waris generasi generasi daerah indonesia budaya situ daerah motif daerah kota solo salah kota indonesia membudidayakan batik tinggal sejarah batik museum batik motif batik kenal segi bentuk tekstur bentuk tekstur batik pola uni program komputer nali tekstur bentuk motif batik motif algoritma klasifikasi sistem komputer deteksi jenis batik motif salah algoritma klasifikasi algoritma mknn pendek modified knn knn proses klasifikasi butuh data latih data uji data sedia isi buah ekstraksi fitur-fitur fungsi kelas data hasil ekstraksi fitur-fitur buah proses olah citra olah citra gantung hasil ekstraksi fitur-fitur nilai akurat hasil teliti akurasi sistem capai 5 nali hasil motif batik nali batik motif klasifikasi modified knn knn data olah citra
23,"UJI USABILITAS SISTEM PENJUALAN DAN PEMBELIAN PRODUK PERTANIAN MENGGUNAKAN METODE SYSTEM
USABILITY SCALE",71150125,"E-Commerce Pertanian, System usability Scale, Uji Usabilitas, Penerimaan Pengguna",uji usabilitas sistem jual beli produk tani metode system usability scale proyek kembang perangkat lunak tahap butuh implementasi sistem proses implementasi sistem tim kembang uji uji terima aplikasi tahap proses implementasi minimal interaksi sistem studi uji terima aplikasi jual beli produk tani e-commerce tani metode teliti 6 tahap utama studi studi pustaka uji usabilitas uji usabilitas  analisa data rekomendasi alat kuesioner kumpul data kuesioner system usability scale sus ukur terima aplikasi skenario tugas ukur sistem artikel bahas desain skenario tugas proses ambil data uji sistem e-commerce tani hasil skor system usability scale responden beli jual 8 hasil skor system usability scale responden admin beli admin jual 5 e-commerce tani system usability scale uji usabilitas terima
24,UJI USABILITAS DAN PENERIMAAN APLIKASI WEB MAPPING SYSTEM LAHAN PERTANIAN,71160114,"Web Mapping System, Eye Tracking, Usability Testing, Technology Acceptance Model, Partial Least Square",uji usabilitas terima aplikasi website site  mapping system lahan tani teknologi bidang tani bawa pengaruh dukung tani mudah sistem tani bentuk dorong hasil produktivitas usaha tani contoh sistem data tani aktivitas tani sistem olah lahan lahan sistem sedia informasi ajar tani kelompok tani teliti uji usabilitas uji terima aplikasi website site  mapping system lahan tani tingkat usabilitas tingkat terima sistem uji usabilitas metode usability testing uji terima metode technology acceptance model eye tracker uji software partial least square olah data hasil teliti tingkat usabilitas hasil combining metrics task success time on task error efficiency hasil uji terima hipotesis milik pengaruh signifikan persepsi persepsi mudah persepsi persepsi sikap minat perilaku website site  mapping system eye tracking usability testing technology acceptance model partial least square
25,UJI USABILITAS PROGRAM BANTU PENGENDALIAN PERSEDIAAN BAHAN KIMIA DAN ALAT PRAKTIKUM LABORATORIUM,71150143,"Q Science > QA Mathematics > QA75 Electronic computers. Computer science
Q Science > QA Mathematics > QA76 Computer software
Q Science > QD Chemistry",uji usabilitas program bantu kendali sedia bahan kimia alat praktikum laboratorium proses data barang manual butuh waktu website site site sistem informasi data cepat mudah pengunaan website site site sistem informasi mmengembangkan aktivitas instansi lembaga media online website site site sedia informasi akurat website site site bangun timbang antarmuka website site site kembang sasar buang waktu tenaga nyaman website site site realtime usability testing usability testing gambar prefensi nyaman website site site website site site bangun analisa usability testing harap maksimal fungsionalitas informasi nyaman website site site science qa mathematics electronic computer computer science science qa mathematics computer software science qd chemistry
26,"ANALISIS PENERIMAAN TEKNOLOGI GOOGLE APPS
MENGGUNAKAN PENDEKATAN TAM DALAM ORGANISASI GEREJA PAROKI MARIA ASSUMPTA KLATEN",71150034,"Technology Acceptance Model (TAM), Penerimaan aplikasi Google, Partial Least Square (PLS", analisa terima teknologi google apps tam organisasi gereja paroki maria assumpta klaten teliti terima layan aplikasi google organisasi dewan paroki gereja maria asumpta klaten metode model technology acceptance model tam variabel analisa perceived ease of use persepsi mudah perceived usefulness persepsi attitude toward using definisi sikap behavioral intention to use niat perilaku actual system usage sistem sungguh responden dewan paroki gereja maria asumpta klaten jenis data data primer kuesioner tutup sample urus gereja data analisa metode partial least square pls software smartpls versi 3 evaluasi outer model data nilai 3 kriteria convergent validity discriminant validity composite reliability dasar  analisa data simpul terima dewan paroki gereja maria asumpta klaten aplikasi google hasil teliti 5 6 hipotesis bukti signifikan technology acceptance model tam terima aplikasi google partial least square pls
27,PENGEMBANGAN EARLY WARNING SYSTEM PADA E-COMMERCE MELALUI APLIKASI SLACK STUDI KASUS: E-COMMERCE DI PT. IMP,71170220,"Early Warning System, Task Scheduler, FTP Server, Slack, E-Commerce",kembang early warning system e-commerce aplikasi slack studi e-commerce pt imp pt imp buah usaha gerak bidang retail kembang teknologi maju pt imp buah e-commerce milik channel jual produk kriteria beda channel klik retail food virtual tiket e-commerce pt imp milik sistem kompleks data butuh kompleksitas sistem butuh data e-commerce sistem error sistem e-commerce file ftp server file ftp server risi data baharu data jual e-commerce akibat jual produk ganggu nyaman langgan transaksi ganggu kembang early warning system ews aplikasi slack kece data ftp server kece data jual sales order ews monitoring quality assurance cepat mudah cepat ambil tindak selesai early warning system task scheduler ftp server slack e-commerce
28,IMPLEMENTASI ALGORITMA RANDOM FOREST UNTUK PENCARIAN LOKASI PADA APLIKASI ANDROID,71150040,"Random Forest, Android, Pengingat Lokasi",implementasi algoritma random forest cari lokasi aplikasi android global positioning system gps sistem navigasi bas satelit posisi bumi sistem gps milik lemah buah bangun sinyal gps ganggu bangun sistem gps buah ruang gedung coba cari posisi buah gedung bangun muncul sistem indoor positioning system ips teliti coba aplikasi posisi dasar lokasi rekam teliti aplikasi bangun platform android teliti algoritma random forest klasifikasi data aplikasi bangun milik rekam data wi-fi posisi dataset latih algoritma random forest teliti sistem klasifikasi data tingkat akurasi uji data wi-fi teliti hasil nilai parameter random forest kait uji akurasi aplikasi bangun tingkat akurasi uji random forest android lokasi
29,PEMBUATAN APLIKASI PENERIMAAN BEASISWA AKADEMIK UKDW DENGAN METODE PROMETHEE,71150054,"Beasiswa Akademik, Perangkingan, Promethee, Kriteria Umum, Leaving Flow, Entering Flow, Net Flow",aplikasi terima beasiswa akademik ukdw metode promethee beasiswa upa bantu uang tujuanya studi tempuh beasiswa lembaga perintah usaha yayasan universitas kampus universitas kristen duta wacana terima beasiswa tahun salah beasiswa beasiswa akademik seleksi daftar beasiswa proses manual cenderung makan waktu proses terima beasiswa biro 3 ukdw milik sistem beasiswa olah data mahasiswa hasil putus cepat pilih terima beasiswa akademik teliti tulis aplikasi bas website site  bantu biro 3 olah berkas daftar pilih calon terima beasiswa akademik teliti metode promethee promethee algoritma matematika hitung ranking algoritma urut beasiswa kriteria hasil putus akurat cepat tahap tulis teliti studi literatur aplikasi uji aplikasi data data biro 3 testing aplikasi website site  analisa hasil tarik simpul hasil teliti bantu biro 3 singkat hemat waktu ambil putus seleksi terima beasiswa biro 3 ukdw hasil perankingan informasi daftar mahasiswa calon mahasiswa ukdw beasiswa transparansi data layak terima beasiswa beasiswa akademik rangking promethee kriteria umum leaving flow entering flow net flow
30,PENGEMBANGAN PEMANTAUAN PENGUNJUNG BERDASARKAN SCREENING SUHU SEBAGAI UPAYA PENCEGAHAN PENYEBARAN COVID- 19,71160118,"Screening suhu, NodeMCU 8266, GY 906 thermometer sensor, Aplikasi android",kembang pantau unjung dasar screening suhu upaya cegah sebar covid- corona virus kumpul virus infeksi salur napas kenal severe acute respiratory syndrome coronavirus 2 covid virus serang batas umur indonesia juang lawan sebar covid virus corona mati bilang situasi pandemi tumpu antri batas gedung tulis sistem screening suhu sistem data identitas suhu unjung real time unjung aman buah ruang gedung hasil input sensor suhu tampil halaman aplikasi android kembang uji kalibrasi uji skalabilitas sistem luas efektivitas baca suhu modul uji sistem screening suhu hasil tingkat hasil beda 0 0 baca suhu uji aplikasi rancang tampil informasi nama lokasi gedung suhu screening suhu nodemcu gy thermometer sensor aplikasi android
